INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'spectral-efficient-parakeet-of-vastness@euromail.eu', '166572566', false, '$2b$12$yolNhbeUodLz/rLPPBoNVOliPadJS82YChwbRGjbdth2WbmEj34nW', 'certain-herring', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'sticky-magenta-booby-of-defense@mymail.com', '159441805', false, '$2b$12$o/4g5WGNAVgEWFuQTik7JuUxGPGYHwAEUWODMUgYCflFnInScNhkO', 'radical-turtle', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'incredible-ochre-goose-of-contentment@mymail.com', '038505462', false, '$2b$12$CSFwf3.YsNPp5r5TB.BWXea0HSxUyif3u/jjijUtxFU1NuvxOwKrS', 'truthful-muskox', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'remarkable-light-pogona-of-enterprise@yahoo.com', '748728262', false, '$2b$12$eW83CDZwbXZbeZGcY/rmGezoOq9JZfoDpXo6wD5pzc/YCFGQf/zP.', 'cyber-jackdaw', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'cautious-winged-clam-of-luck@myspace.com', '778833257', false, '$2b$12$jsYsuYUyHx3Um33aXBto5OKT.lmrVbuep6V45gtad/1Y6cUp2j4ta', 'unnatural-barracuda', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'mottled-gleaming-barnacle-of-will@euromail.eu', '805347497', false, '$2b$12$6ehiehz.sOV5XLFHvshCcuxQdnHf8s4h2VdoUgUWcXgKhwaFHmp0K', 'voracious-mastodon', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'shrewd-eccentric-wildcat-of-temperance@myspace.com', '475703528', false, '$2b$12$lgbG7iJ9Ec82tJ1FM1ck1OgwC2cWofeQbYM1fHP.kwoQGKdZKLrA.', 'ambrosial-smilodon', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'rampant-hallowed-falcon-of-perception@mymail.com', '890300218', false, '$2b$12$Kayyzzhoc1AGMnqjkS3f8.Zjt8fkZfVPl4M1.RMSR4aHUMv8LD/fO', 'hungry-aardwark', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'nonchalant-ginger-starfish-of-saturation@hotmail.com', '700679291', false, '$2b$12$xBwAQEfLeI/ldMK36PkAYeM.J8sFhBTCl3IpqA9RX/4G15V1.OqYe', 'slim-serval', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'astonishing-thundering-stingray-of-protection@hotmail.com', '179844675', false, '$2b$12$xDkvXNh0Ub4OJAMC3wpJOuxZyUbsa1bHfbwCgsttpwk7jPEmRSwuq', 'independent-cat', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'singing-airborne-squid-of-mastery@yahoo.com', '991745970', false, '$2b$12$CLFlEfa5YcjMPu2xGNxJ4Oe77XqMSdYeERwJ2tQ5.dN2YLjjdrAqi', 'magenta-chipmunk', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'ruddy-venomous-shellfish-of-temperance@yahoo.com', '969913919', false, '$2b$12$Jx3ntxPsJpm4ZMvDI1ZJ0.9cRqy3/2sI2oKtXxNVxNkALps0.NaLa', 'soft-carp', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'awesome-spry-civet-of-persistence@euromail.eu', '327102248', false, '$2b$12$IHn61TZH82h/dtfIZl9VXOjqTCsseY1dtheeH/LgP4KAty4c30k4O', 'red-ammonite', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'gentle-analytic-chupacabra-of-happiness@gmail.com', '773794231', false, '$2b$12$dVDRxBuufwo5v4e5/wqhJetSNIrbxhOpE5D58W74pqeH562yEvtU2', 'conscious-hound', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'vague-rooster-of-silent-domination@gmail.com', '047240540', false, '$2b$12$lMlwXKXlV92ieQENnY5NBuKyknSNml8lC/eCsDBDDvPT61HiknaKy', 'evasive-reindeer', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'impossible-sparkling-leech-of-experiment@hotmail.com', '749355177', false, '$2b$12$pxGiJOQ0mVECkGg9ITGWCu2DNBJS5pFzWolh7iBmg5UAypRR2CoOm', 'inescapable-cockle', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'dancing-cinnamon-lion-of-resistance@euromail.eu', '187120159', false, '$2b$12$z6ZO4gMTFAQuaLwzH3usaunoNHvzeRNZt2pI73gOEWBQPowYf4.fe', 'astute-millipede', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'phenomenal-kind-catfish-of-brotherhood@euromail.eu', '351339787', false, '$2b$12$22PtAd3HMjUrm1LVU5A.xOL4j9KD.C6neTt57T0jVzzx/PyArD9Ee', 'alluring-cockatoo', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'armored-impartial-numbat-from-ganymede@hotmail.com', '541175444', false, '$2b$12$OTCnbcaMLXj4DsFIH5sjveWkU/Xi8d2nRae00h3DHGCafj3Z59Dxi', 'pearl-perch', DEFAULT, true);
INSERT INTO public.users(user_id, email, phone_number, is_admin, password, login, token, is_active) VALUES(DEFAULT, 'ubiquitous-nickel-vole-of-drama@mymail.com', '464078979', false, '$2b$12$pnqanb7BT1ctb7UxP0FO5uPsbJifEQzDR7/9UWt8u0RJK3hCNMeRa', 'faithful-scorpion', DEFAULT, true);
